CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Country,PostalCode,DateOfBirth,CustomerType,RegistrationDate,LastPurchaseDate
1,Derek,Stuart,melissabrown@davis.com,272-561-7933x4371,"0343 Martin Brook Suite 550
Donaldsonside, NM 36649",Woodshire,Vermont,Mauritius,98546,10/1/1984,Corporate,9/20/2022,8/7/2024
2,Donna,Greene,danielanderson@yahoo.com,1664024550,"516 Patel Ridges Apt. 655
Lake Elizabethshire, RI 78420",South Brandon,South Carolina,Samoa,22463,2/21/1941,Corporate,7/2/2022,4/23/2024
3,Christie,Contreras,khanscott@hotmail.com,(486)565-5326x2200,"Unit 3419 Box 3019
DPO AP 30091",Robinton,Hawaii,Kyrgyz Republic,72787,10/22/1971,Corporate,11/19/2022,8/14/2024
4,Latoya,Silva,tylermartin@henry-wilson.com,001-762-170-0948x05701,"11966 Moore Creek Apt. 622
Peterfort, CA 65031",Camachomouth,Arizona,Nauru,91282,11/21/1977,Individual,1/30/2021,5/18/2024
5,Kristen,Pena,oliverkimberly@graham.com,(577)454-3279,"19350 Christopher Key
East Lee, NE 18479",Christinaland,Alaska,Equatorial Guinea,19375,6/15/1945,Corporate,7/16/2023,8/16/2024
6,Michelle,Anderson,beckjoseph@yahoo.com,235.071.7597,"USCGC Taylor
FPO AA 89647",East Hollymouth,Missouri,Uruguay,76733,6/30/1987,Individual,1/18/2022,7/30/2024
7,Patrick,Ibarra,katrinarodriguez@burke.info,(857)432-8066x9964,"6066 Jessica Manors Apt. 804
East Brandi, CO 51990",Maloneville,Mississippi,Luxembourg,84673,2/2/1958,Individual,6/14/2022,6/16/2024
8,Christie,Mcdonald,alfred44@hotmail.com,+1-938-063-7860x7825,"814 Mccormick Spur
Samuelville, CO 05904",North Ryan,Georgia,Rwanda,42223,1/14/1936,Individual,7/31/2024,2/15/2024
9,Derek,Robinson,millerlaurie@gmail.com,642-760-5612,"126 Miller Gateway Apt. 978
Port Wendy, UT 33488",West Tracychester,Massachusetts,Guatemala,57959,6/6/1936,Corporate,8/27/2023,5/5/2024
10,Jerry,Goodwin,moyerlatasha@rios-thomas.com,(167)710-1825,"PSC 0679, Box 2549
APO AA 34687",Port Michelle,South Dakota,Malawi,32689,5/14/1958,Corporate,1/7/2021,1/12/2024
11,Dillon,Taylor,wagnerheather@yahoo.com,1183144858,"669 Weiss Views
West Leetown, GA 45632",Haleview,Minnesota,Honduras,72996,3/1/2004,Individual,8/30/2022,3/9/2024
12,Melissa,Wallace,yli@hotmail.com,744-330-8877x3298,"403 Pham Point Apt. 367
Nguyenmouth, NH 49873",Scottview,New Mexico,Equatorial Guinea,64098,2/7/2001,Individual,8/16/2024,7/5/2024
13,Dana,Flowers,christinetrevino@smith-gill.com,001-647-878-1804x763,"15198 Benjamin Manors Apt. 405
Jodiville, NJ 49096",East Tamiburgh,Kentucky,Peru,84262,9/17/1970,Corporate,3/21/2020,8/17/2024
14,Jessica,Smith,delgadolauren@hotmail.com,(543)287-4699x22610,"64086 Jake Crossing
Anntown, FL 58436",Lake Bobbyport,Oregon,Madagascar,62923,2/6/1986,Individual,6/22/2024,4/19/2024
